image_id,image_patch,mask_patch,label,label_ann,ann_logit,ann_conf,ann_energy
1,patches\real\001_000.png,patches\mask\001_000.png,0,0,-10.318213,10.318213,0.30649805
1,patches\real\001_001.png,patches\mask\001_001.png,0,0,-10.436535,10.436535,0.29328567
1,patches\real\001_002.png,patches\mask\001_002.png,0,0,-11.098326,11.098326,0.34332752
1,patches\real\001_003.png,patches\mask\001_003.png,0,0,-11.526443,11.526443,0.35910767
1,patches\real\001_004.png,patches\mask\001_004.png,0,0,-10.353349,10.353349,0.3127433
1,patches\real\001_005.png,patches\mask\001_005.png,0,0,-9.623033,9.623033,0.29200873
1,patches\real\001_006.png,patches\mask\001_006.png,0,0,-12.167962,12.167962,0.35063848
1,patches\real\001_007.png,patches\mask\001_007.png,0,0,-0.6689956,0.6689956,0.2750436
1,patches\real\001_008.png,patches\mask\001_008.png,0,1,1.5066285,1.5066285,0.20836039
1,patches\real\001_009.png,patches\mask\001_009.png,0,0,-6.2327313,6.2327313,0.20605405
1,patches\real\001_010.png,patches\mask\001_010.png,0,0,-19.3737,19.3737,0.40749592
1,patches\real\001_011.png,patches\mask\001_011.png,0,0,-11.22898,11.22898,0.39604452
1,patches\real\001_012.png,patches\mask\001_012.png,0,0,-10.5063505,10.5063505,0.2855846
1,patches\real\001_013.png,patches\mask\001_013.png,0,0,-11.9388,11.9388,0.30328792
1,patches\real\001_014.png,patches\mask\001_014.png,0,0,-12.4926,12.4926,0.34095693
1,patches\real\001_015.png,patches\mask\001_015.png,0,0,-11.72755,11.72755,0.3778999
1,patches\real\001_016.png,patches\mask\001_016.png,0,0,-10.820748,10.820748,0.28467625
1,patches\real\001_017.png,patches\mask\001_017.png,0,0,-11.286713,11.286713,0.34538543
1,patches\real\001_018.png,patches\mask\001_018.png,0,0,-10.373244,10.373244,0.26030186
1,patches\real\001_019.png,patches\mask\001_019.png,0,0,-10.380437,10.380437,0.3062839
1,patches\real\001_020.png,patches\mask\001_020.png,0,0,-12.375811,12.375811,0.2963085
1,patches\real\001_021.png,patches\mask\001_021.png,0,0,-11.904584,11.904584,0.25815788
1,patches\real\001_022.png,patches\mask\001_022.png,0,0,-10.993752,10.993752,0.2613783
1,patches\real\001_023.png,patches\mask\001_023.png,1,1,9.725543,9.725543,0.6011933
1,patches\real\001_024.png,patches\mask\001_024.png,1,1,7.356716,7.356716,0.4616953
1,patches\real\001_025.png,patches\mask\001_025.png,1,1,6.8012977,6.8012977,0.413698
1,patches\real\001_026.png,patches\mask\001_026.png,0,0,-9.958949,9.958949,0.33199227
1,patches\real\001_027.png,patches\mask\001_027.png,0,0,-9.803838,9.803838,0.3035227
1,patches\real\001_028.png,patches\mask\001_028.png,0,0,-10.734981,10.734981,0.3106048
1,patches\real\001_029.png,patches\mask\001_029.png,0,0,-14.293784,14.293784,0.3467706
1,patches\real\001_030.png,patches\mask\001_030.png,0,0,-11.133012,11.133012,0.32147074
1,patches\real\001_031.png,patches\mask\001_031.png,0,0,-10.347396,10.347396,0.25438476
1,patches\real\001_032.png,patches\mask\001_032.png,0,0,-9.027371,9.027371,0.24713057
