image_id,image_patch,mask_patch,label,label_ann,ann_logit,ann_conf,ann_energy
1,patches\real\001_000.png,patches\mask\001_000.png,0,0,-4.8373666,4.8373666,0.13058446
1,patches\real\001_001.png,patches\mask\001_001.png,0,0,-5.0531006,5.0531006,0.13820802
1,patches\real\001_002.png,patches\mask\001_002.png,0,0,-5.164333,5.164333,0.14654589
1,patches\real\001_003.png,patches\mask\001_003.png,0,0,-5.1576285,5.1576285,0.15842749
1,patches\real\001_004.png,patches\mask\001_004.png,0,0,-9.271003,9.271003,0.20902291
1,patches\real\001_005.png,patches\mask\001_005.png,0,0,-8.065504,8.065504,0.15081513
1,patches\real\001_006.png,patches\mask\001_006.png,0,0,-8.1633,8.1633,0.16090447
1,patches\real\001_007.png,patches\mask\001_007.png,0,0,-9.967715,9.967715,0.19246742
1,patches\real\001_008.png,patches\mask\001_008.png,0,0,-6.1588306,6.1588306,0.14625472
1,patches\real\001_009.png,patches\mask\001_009.png,0,0,-6.674433,6.674433,0.13206054
1,patches\real\001_010.png,patches\mask\001_010.png,0,0,-8.753716,8.753716,0.14554171
1,patches\real\001_011.png,patches\mask\001_011.png,0,0,-8.000462,8.000462,0.18634409
1,patches\real\001_012.png,patches\mask\001_012.png,0,0,-5.279732,5.279732,0.16913088
1,patches\real\001_013.png,patches\mask\001_013.png,0,0,-5.473185,5.473185,0.162036
1,patches\real\001_014.png,patches\mask\001_014.png,0,0,-5.4584126,5.4584126,0.15982015
1,patches\real\001_015.png,patches\mask\001_015.png,0,0,-5.5626082,5.5626082,0.15541315
1,patches\real\001_016.png,patches\mask\001_016.png,0,0,-5.4309754,5.4309754,0.1581483
1,patches\real\001_017.png,patches\mask\001_017.png,0,0,-5.515557,5.515557,0.16418019
1,patches\real\001_018.png,patches\mask\001_018.png,0,0,-5.462297,5.462297,0.18192549
1,patches\real\001_019.png,patches\mask\001_019.png,0,0,-10.241924,10.241924,0.24143037
1,patches\real\001_020.png,patches\mask\001_020.png,0,0,-3.6162865,3.6162865,0.1255149
1,patches\real\001_021.png,patches\mask\001_021.png,0,0,-3.0916426,3.0916426,0.14847396
1,patches\real\001_022.png,patches\mask\001_022.png,0,0,-3.0309587,3.0309587,0.20599575
1,patches\real\001_023.png,patches\mask\001_023.png,0,0,-5.161092,5.161092,0.18998186
1,patches\real\001_024.png,patches\mask\001_024.png,0,0,-4.865325,4.865325,0.15272051
1,patches\real\001_025.png,patches\mask\001_025.png,0,0,-5.127943,5.127943,0.12946285
1,patches\real\001_026.png,patches\mask\001_026.png,0,0,-3.9318047,3.9318047,0.16408317
1,patches\real\001_027.png,patches\mask\001_027.png,0,0,-4.8588614,4.8588614,0.13934097
1,patches\real\001_028.png,patches\mask\001_028.png,0,0,-7.392425,7.392425,0.14644334
1,patches\real\001_029.png,patches\mask\001_029.png,0,0,-5.9616885,5.9616885,0.18174131
1,patches\real\001_030.png,patches\mask\001_030.png,0,0,-5.5419154,5.5419154,0.17098682
1,patches\real\001_031.png,patches\mask\001_031.png,0,0,-5.977788,5.977788,0.1773012
1,patches\real\001_032.png,patches\mask\001_032.png,0,0,-5.441381,5.441381,0.16473635
1,patches\real\001_033.png,patches\mask\001_033.png,0,0,-4.941808,4.941808,0.1871258
1,patches\real\001_034.png,patches\mask\001_034.png,0,0,-10.880406,10.880406,0.27580136
1,patches\real\001_035.png,patches\mask\001_035.png,0,0,-5.5262465,5.5262465,0.15953663
1,patches\real\001_036.png,patches\mask\001_036.png,0,0,-5.3474545,5.3474545,0.15813543
1,patches\real\001_037.png,patches\mask\001_037.png,0,0,-5.487624,5.487624,0.15995312
1,patches\real\001_038.png,patches\mask\001_038.png,0,0,-5.4230285,5.4230285,0.19616039
1,patches\real\001_039.png,patches\mask\001_039.png,0,0,-6.5644517,6.5644517,0.21829827
1,patches\real\001_040.png,patches\mask\001_040.png,0,0,-6.129886,6.129886,0.18827605
1,patches\real\001_041.png,patches\mask\001_041.png,0,0,-5.9888005,5.9888005,0.16147678
